PassengerId,Survived,Probability
892,0,0.11414572174621596
893,1,0.6598287911870703
894,0,0.11532073172679376
895,0,0.08597053728365384
896,0,0.31926984246285744
897,0,0.08258686551675186
898,0,0.20522413111367444
899,0,0.1347639549136728
900,1,0.9011527605001043
901,0,0.09184641964885092
902,0,0.07202257447233362
903,0,0.0777835004077216
904,1,0.9588215691647565
905,0,0.0797016481988156
906,1,0.9519933412483235
907,1,0.9684263332733241
908,0,0.12401627406328823
909,0,0.269149471008361
910,0,0.4636613996705725
911,1,0.6340880662042742
912,0,0.07921192802190981
913,1,0.8167397805784669
914,1,0.9513148366237504
915,0,0.19519027764524916
916,1,0.9915601512181941
917,0,0.08418145589897635
918,1,0.9776840177842187
919,0,0.269149471008361
920,0,0.2797825400554507
921,0,0.12305317909439284
922,0,0.10474648991312323
923,0,0.0844553068846991
924,1,0.8449441544748979
925,0,0.20519673935407326
926,0,0.30115339356664184
927,0,0.14664612816252248
928,0,0.291425864094179
929,0,0.16344897135121478
930,0,0.14526039458799234
931,0,0.4631321350394289
932,0,0.13985702743258296
933,0,0.2883766660693452
934,0,0.11121708494983143
935,1,0.9726120239254192
936,1,0.9592455136156262
937,0,0.12174563649347217
938,0,0.25066195913246614
939,0,0.09349418608193355
940,1,0.9723374400566279
941,1,0.8455500888938924
942,0,0.12160775487655087
943,0,0.12766451187589545
944,1,0.9346913099381142
945,1,0.9600445130989786
946,0,0.1375038575170909
947,0,0.062336016886327394
948,0,0.08113721488547061
949,0,0.10498205674341733
950,0,0.10161935989812451
951,1,0.9729707010209743
952,0,0.07436083957480759
953,0,0.17012594977232956
954,0,0.09064037859145457
955,1,0.8625240545842122
956,0,0.1657217431743533
957,1,0.9433899376590856
958,1,0.6914212345519016
959,0,0.063019559779833
960,0,0.3214519365913715
961,1,0.9690154942502375
962,1,0.7308517407257288
963,0,0.06834750297976531
964,1,0.5334666409578525
965,0,0.26533197627753874
966,1,0.976024406233172
967,0,0.1672821741209386
968,0,0.08387505962406135
969,1,0.9589045657772458
970,0,0.17617633409402758
971,1,0.7308517407257288
972,1,0.8884032781896584
973,0,0.037026253406676694
974,0,0.14597701623374926
975,0,0.07202257447233362
976,0,0.0842790078762251
977,0,0.09929259615528585
978,1,0.8506333213965016
979,0,0.4464900549418255
980,1,0.7520467910983276
981,1,0.840120972565943
982,0,0.22032298402612735
983,0,0.14639539198054516
984,1,0.7515535091572123
985,0,0.08387505962406135
986,0,0.2222777587632868
987,0,0.13949579694275513
988,1,0.9863086792447603
989,0,0.2300805820894733
990,1,0.7504082410922942
991,0,0.11646839236968606
992,1,0.9726318063249727
993,0,0.10577976433157779
994,0,0.09349418608193355
995,0,0.13949579694275513
996,0,0.3140414398464453
997,0,0.09665395081947066
998,0,0.09664637728710607
999,0,0.09349418608193355
1000,0,0.07840386138438751
1001,0,0.12691541366902365
1002,0,0.1123198949460717
1003,1,0.5711667341909685
1004,1,0.9527889110148389
1005,1,0.9246013378328645
1006,1,0.9827066712560217
1007,0,0.10593088744318499
1008,0,0.07699967831311302
1009,1,0.7373216162262318
1010,0,0.23597540013558746
1011,1,0.9662283664515536
1012,1,0.9477904357171955
1013,0,0.09349418608193355
1014,1,0.976024406233172
1015,0,0.07290068817606868
1016,0,0.09349418608193355
1017,0,0.26543060703776705
1018,0,0.13949579694275513
1019,1,0.797666668583799
1020,0,0.18003265237316765
1021,0,0.07964710396951011
1022,0,0.1577964868849296
1023,0,0.15031566289076617
1024,0,0.08032494187438954
1025,0,0.07699967831311302
1026,0,0.06340059858190746
1027,0,0.12302398747757173
1028,1,0.6020071754876924
1029,0,0.10533682604404732
1030,0,0.17373603195639953
1031,0,0.09201361358260511
1032,0,0.06766897905370162
1033,1,0.9702311143266746
1034,0,0.0723316768806353
1035,0,0.09665395081947066
1036,0,0.26561762593564797
1037,0,0.179629493653764
1038,0,0.14106383671033412
1039,0,0.07964710396951011
1040,0,0.27394214301759107
1041,0,0.15518724771567063
1042,1,0.9776840177842187
1043,0,0.18632417055281228
1044,0,0.06503571140676022
1045,1,0.7788364137731023
1046,0,0.09121065198553796
1047,0,0.11296987078347209
1048,1,0.9703878966246829
1049,1,0.7234119605132215
1050,0,0.2797825400554507
1051,0,0.3431689217236944
1052,1,0.8354579264943294
1053,1,0.6704938584932699
1054,1,0.6604419461212313
1055,0,0.04997555008324637
1056,0,0.14016071471957395
1057,1,0.5494683045905158
1058,0,0.13291732012197266
1059,0,0.09587211793816648
1060,1,0.9503364195653056
1061,0,0.16344897135121478
1062,0,0.053404974034978965
1063,0,0.47843164417464484
1064,0,0.08030230274928497
1065,0,0.12435415209778325
1066,0,0.11408127141867827
1067,1,0.947614617443472
1068,1,0.9499725655051834
1069,0,0.10618879345801649
1070,1,0.9559526151313801
1071,1,0.9671277632709697
1072,0,0.17617633409402758
1073,0,0.17008066676911096
1074,1,0.9644953982486719
1075,0,0.09349418608193355
1076,1,0.8493670784400311
